[2023-12-22T22:35:22.654+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300007, 0.00205)
[2023-12-22T22:35:22.654+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300007, 0.00169)
[2023-12-22T22:35:22.655+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300007, 0.00252)
[2023-12-22T22:35:22.655+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00106)
[2023-12-22T22:35:22.655+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00183)
[2023-12-22T22:35:22.656+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00247)
[2023-12-22T22:35:22.656+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00253)
[2023-12-22T22:35:22.656+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00164)
[2023-12-22T22:35:22.657+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848271052, 0.00204)
[2023-12-22T22:35:22.657+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300009, 0.00121)
[2023-12-22T22:35:22.658+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300010, 0.00164)
[2023-12-22T22:35:22.658+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300010, 0.00068)
[2023-12-22T22:35:22.658+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300012, 0.00045)
[2023-12-22T22:35:22.659+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300012, 0.00065)
[2023-12-22T22:35:22.659+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300012, 0.00248)
[2023-12-22T22:35:22.659+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300013, 0.00228)
[2023-12-22T22:35:22.660+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300014, 0.00054)
[2023-12-22T22:35:22.660+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300015, 0.00138)
[2023-12-22T22:35:22.660+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300015, 0.0023)
[2023-12-22T22:35:22.661+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848271360, 0.00025)
